Indicator Id,Indicator Category,Sub Category,Red Flag Description,Risk Level,Typology,Geographic Focus,Transaction Type,Co Occurring Indicators,Source Primary,Source Url,Date Published,Notes
  ▌ STRUCTURING & LAYERING   (8 indicators),,,,,,,,,,,,
ATYPICAL-006,Atypical Transactions,Temporal Transaction Pattern,Suspicious pattern emerges from client's transactions (e.g. same time of day),Medium,Structuring & Layering,Global,All,"STRUCT-001, STRUCT-006, PROF-007",FINTRAC - General ML/TF Indicators,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/fin_mltf-eng,2025-11-24,May indicate programmed/systematic activity
ATYPICAL-007,Atypical Transactions,Quick In-Out,"Atypical transfers by client on in-and-out basis, or cash deposit followed immediately by wire transfer out",High,Structuring & Layering,Global,All,"ATYPICAL-008, WIRE-008, ACCT-001, STRUCT-001",FINTRAC - General ML/TF Indicators,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/fin_mltf-eng,2025-11-24,Classic pass-through/layering
ATYPICAL-008,Atypical Transactions,Same-Day Turnover,Funds transferred in and out of account on same day or within relatively short period,High,Structuring & Layering,Global,All,"ATYPICAL-007, WIRE-008, ACCT-001",FINTRAC - General ML/TF Indicators,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/fin_mltf-eng,2025-11-24,Flow-through activity indicator
BEHAV-001,Client Behavior,Location Hopping,Client conducts transactions at different physical locations,Medium,Structuring & Layering,Global,"ABM, Card","STRUCT-001, STRUCT-006, ATYPICAL-007",FINTRAC - General ML/TF Indicators,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/fin_mltf-eng,2025-11-24,Classic structuring avoidance behavior
PROF-006,Profile Mismatch,Fund Movement,Large and/or rapid movement of funds not commensurate with client's financial profile,High,Structuring & Layering,Global,All,"ATYPICAL-007, ATYPICAL-008, WIRE-008, PROF-010",FINTRAC - General ML/TF Indicators,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/fin_mltf-eng,2025-11-24,Strong indicator of suspicious activity
PROF-007,Profile Mismatch,Round Sums,Rounded sum transactions atypical of what would be expected from client,Low,Structuring & Layering,Global,All,"STRUCT-001, STRUCT-006, ATYPICAL-006",FINTRAC - General ML/TF Indicators,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/fin_mltf-eng,2025-11-24,Unusual in legitimate business context
STRUCT-001,Structuring,Cash Structuring,"Multiple cash deposits below $10,000 within short timeframe to avoid CTR filing requirements",High,Structuring & Layering,"USA, Canada",ABM,"STRUCT-006, BEHAV-001, ATYPICAL-006, PROF-007",FINTRAC - General ML/TF Indicators,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/fin_mltf-eng,2025-11-24,FinCEN
STRUCT-006,Structuring,Short Period Multiple Transactions,Multiple transactions conducted below reporting threshold within short period,High,Structuring & Layering,Global,All,"STRUCT-001, BEHAV-001, ATYPICAL-006",FINTRAC - General ML/TF Indicators,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/fin_mltf-eng,2025-11-24,Time-based structuring
  ▌ BEHAVIOURAL & PROFILE ANOMALIES   (11 indicators),,,,,,,,,,,,
